Collection,Subsistence,Sex,BicondylarBreadth,Index_FM
Mobridge,Horticultural,Female,51.05,815.55745287191
Mobridge,Horticultural,Female,50.9,744.494627047709
Mobridge,Horticultural,Male,53.1,933.388775831021
Mobridge,Horticultural,Female,53.1,810.483780736363
Mobridge,Horticultural,Male,53.1,845.767793226993
Mobridge,Horticultural,Female,55.3,807.236159330714
Mobridge,Horticultural,Male,56.8,819.987098513472
Mobridge,Horticultural,Female,49.05,698.753038011442
Mobridge,Horticultural,Female,48.95,752.489980351095
Mobridge,Horticultural,Female,50.45,794.89755418374
Mobridge,Horticultural,Female,57.3,881.648708321805
Mobridge,Horticultural,Female,53.1,817.446335454881
Larson,Horticultural,Female,54.8,747.767773893668
Larson,Horticultural,Male,51.1,995.602127849141
Larson,Horticultural,Female,55.8,863.345004123828
Larson,Horticultural,Male,52.65,1042.18998340647
