Subsistence,Collection,Sex,BicondylarBreadth,Index_FM
Horticultural,Mobridge,Female,49.85,745.126872569244
Horticultural,Mobridge,Female,50.4,753.275378514493
Horticultural,Mobridge,Female,50.1,742.554693584117
Horticultural,Mobridge,Male,52.15,769.423164753944
Horticultural,Mobridge,Female,52.5,758.502203291903
Horticultural,Mobridge,Male,51.65,750.824936244693
Horticultural,Mobridge,Male,56.45,1179.6052095699
Horticultural,Mobridge,Male,56.7,984.924639817753
Horticultural,Mobridge,Female,49.1,659.510618777288
Horticultural,Mobridge,Male,53.75,864.212869094382
Horticultural,Mobridge,Male,52.4,928.281724273529
Horticultural,Mobridge,Male,49.8,801.789423067553
Horticultural,Mobridge,Female,50.1,715.550741231105
Horticultural,Mobridge,Male,52.65,943.108078103064
Horticultural,Mobridge,Female,52.95,886.45338158639
Horticultural,Mobridge,Male,54.05,914.391957753845
Horticultural,Mobridge,Female,51.2,732.177620350229
Horticultural,Mobridge,Female,55.75,825.649819271567
Horticultural,Mobridge,Male,52.6,944.578736164026
Horticultural,Mobridge,Male,53.8,921.193505848867
Horticultural,Mobridge,Male,54.95,912.306725630025
Horticultural,Mobridge,Female,53.8,774.280852394557
Horticultural,Mobridge,Female,50.3,745.790534017315
Horticultural,Mobridge,Female,51.05,815.55745287191
Horticultural,Mobridge,Female,50.9,744.494627047709
Horticultural,Mobridge,Male,53.1,933.388775831021
Horticultural,Mobridge,Female,53.1,810.483780736363
Horticultural,Mobridge,Male,53.1,845.767793226993
Horticultural,Mobridge,Female,55.3,807.236159330714
Horticultural,Mobridge,Male,56.8,819.987098513472
Horticultural,Mobridge,Female,49.05,698.753038011442
Horticultural,Mobridge,Female,48.95,752.489980351095
Horticultural,Mobridge,Female,50.45,794.89755418374
Horticultural,Mobridge,Female,57.3,881.648708321805
Horticultural,Mobridge,Female,53.1,817.446335454881
Horticultural,Larson,Female,54.8,747.767773893668
Horticultural,Larson,Male,51.1,995.602127849141
Horticultural,Larson,Female,55.8,863.345004123828
Horticultural,Larson,Male,52.65,1042.18998340647
Horticultural,Larson,Male,50.85,980.699197698675
Horticultural,Larson,Male,51.6,751.842026866292
Horticultural,Larson,Male,51.75,890.229183256923
Horticultural,Larson,Male,52,960.755974834605
Horticultural,Larson,Female,50.4,824.13400081621
Horticultural,Larson,Female,51.15,773.744818148039
Horticultural,Larson,Male,56.95,904.684436454253
Horticultural,Larson,Female,53.8,744.109781947644
Horticultural,Larson,Male,55.9,742.554693584117
Horticultural,Larson,Female,52.5,803.008753716228
Horticultural,Larson,Male,52.2,883.722159473175
Horticultural,Larson,Male,52.05,1137.44503615872
Horticultural,Larson,Male,55,965.348590595072
Horticultural,Larson,Female,58.4,938.059931407827
Horticultural,Larson,Female,49.65,684.49609785037
Horticultural,Larson,Female,50.1,844.15576349662
Horticultural,Larson,Female,46,851.668096929516
Horticultural,Larson,Female,49.85,815.459278101486
Horticultural,Larson,Female,50.85,843.89461860729
Horticultural,Larson,Male,53.6,886.51817693487
Horticultural,Larson,Female,45.2,590.833439874407
Horticultural,Larson,Female,52,908.988418389671
Horticultural,Larson,Male,56.95,870.920169409796
Horticultural,Larson,Male,57.45,972.802019165713
Horticultural,Larson,Male,56.55,1010.92917300784
Horticultural,Larson,Female,49.3,601.033798521531
Horticultural,Larson,Male,56.1,935.558438257406
Horticultural,Larson,Female,55.55,956.481445330315
Horticultural,Larson,Male,55.1,865.634439770132
Horticultural,Larson,Male,54.55,829.586627565597
Horticultural,Larson,Male,53.1,681.352541701371
Horticultural,Larson,Male,53.8,791.799158429137
Horticultural,Larson,Female,51.9,871.477802105809
Horticultural,Larson,Female,54,852.879573596557
Horticultural,Larson,Female,48.75,663.661448070844
Horticultural,Larson,Male,54.9,848.693401385649
Horticultural,Larson,Male,49.5,977.950304126784
Horticultural,Larson,Female,50.5,816.162209457726
Horticultural,Larson,Male,52.8,1123.55134264822
Horticultural,Larson,Female,53.7,704.502152567511
Horticultural,Larson,Female,50.85,737.088322366871
Horticultural,Larson,Male,47.05,748.739704120872
Horticultural,Larson,Female,51.8,701.183845327157
Horticultural,Larson,Male,49.35,812.015307154988
Horticultural,Larson,Male,53.85,1039.05035424829
Horticultural,Larson,Female,46.75,696.428259447785
Horticultural,Larson,Female,50.9,746.308896805157
Horticultural,Larson,Female,54.65,830.558557792801
Horticultural,Larson,Female,54.55,733.542249659132
Horticultural,Larson,Female,52,798.602670019568
Horticultural,Larson,Female,55.05,827.546555836172
Horticultural,Larson,Male,52.1,827.872496073982
Horticultural,Larson,Female,53.2,791.447692751017
Horticultural,Larson,Male,47.1,869.467182807511
Horticultural,Larson,Female,51.1,834.835050792501
Horticultural,Larson,Male,55.4,1020.33824300534
Horticultural,Larson,Male,53.6,858.83289167511
Horticultural,Larson,Male,55.35,1001.24325015774
Horticultural,Larson,Male,59.15,1030.92933723876
Horticultural,Larson,Female,54,884.452579765134
Horticultural,Larson,Male,55.8,1004.69311159047
Horticultural,Larson,Male,56.15,1075.36716532379
Horticultural,Larson,Female,52.65,650.937997823805
Horticultural,Larson,Female,50.7,785.657344791369
Horticultural,Larson,Female,54.3,930.62613779127
Horticultural,Larson,Female,55.65,874.89035712577
Horticultural,Larson,Male,55.65,911.293561999242
Horticultural,Larson,Male,56.15,968.568723065001
Horticultural,Larson,Female,53.45,835.320034158399
Horticultural,Larson,Female,53.1,931.364412064864
Horticultural,Larson,Female,55.05,775.313650979425
Horticultural,Larson,Male,47.9,792.537432702731
Horticultural,Larson,Male,55.95,1004.58708283841
Horticultural,Larson,Female,52,802.786878735068
Horticultural,Larson,Male,51.5,749.348387697505
Horticultural,Larson,Female,50.35,757.100267570238
Horticultural,Larson,Female,50.4,775.356847878412
Horticultural,Larson,Male,51.65,805.812625159556
Horticultural,Larson,Male,51.05,710.643966205279
Horticultural,Larson,Female,49.15,801.053112289368
Horticultural,Larson,Female,57.7,863.015136895201
Horticultural,Larson,Male,54.1,809.219289693293
Horticultural,Larson,Male,47.95,910.5670686981
Horticultural,Larson,Female,52.6,677.759345103828
Horticultural,Larson,Female,52.65,791.708837640347
Horticultural,Larson,Female,49.7,753.864427137041
Horticultural,Larson,Female,47.75,643.97151611447
Horticultural,Larson,Male,58.85,938.057967912419
Horticultural,Larson,Female,52.95,738.05436210785
Horticultural,Larson,Male,51.1,NA
Horticultural,Larson,Male,51.85,803.776480420948
Horticultural,Larson,Male,54,NA
Horticultural,Larson,Female,NA,861.483610476576
Horticultural,Larson,Female,NA,833.788507739774
Horticultural,Larson,Male,50.55,761.274658808696
Horticultural,Larson,Male,49.1,729.485668145184
Horticultural,Larson,Female,56.2,765.81818718395
Horticultural,Larson,Male,59.15,866.205816934003
Horticultural,Larson,Male,50.7,643.35890554702
Horticultural,Larson,Female,49.2,681.128703224803
Horticultural,Larson,Male,52.05,873.873266504171
Horticultural,Larson,Male,51.9,929.675806013559
Horticultural,Larson,Male,55.15,883.655400629286
Horticultural,Larson,Male,55.5,911.234657136987
Horticultural,Larson,Female,48.55,706.186831627999
Horticultural,Larson,Female,46.6,710.588988333841
Horticultural,Larson,Male,54.05,1009.80605363418
Horticultural,Larson,Male,50.05,780.889977939547
Horticultural,Larson,Female,53,846.769175885325
Horticultural,Larson,Female,51.45,923.683218026837
Horticultural,Larson,Male,51,854.591741592764
