Group,Site,SiteNo,Obs,Feature,Burial,Sex,MLC,MWC,MND,BCB,MXID,LFM,WFM,LBP
Arikara,Larson,39WW2,148,301,38A,M,26.05,16.25,22.35,55.65,47.40,37.55,30.90,26.70
Arikara,Larson,39WW2,149,301,42,M,26.10,16.40,23.55,56.15,49.20,39.40,31.30,25.65
Arikara,Larson,39WW2,150,301,41A,F,21.80,17.41,19.10,53.45,46.95,35.75,29.75,25.50
Arikara,Larson,39WW2,151,301,49A,F,25.40,16.35,15.15,53.10,47.30,37.00,32.05,24.45
Arikara,Larson,39WW2,152,301,50B,F,23.50,16.80,23.35,55.05,49.70,33.35,29.60,20.15
Arikara,Larson,39WW2,153,301,SOG,M,22.50,13.00,15.65,47.90,43.55,35.72,28.25,24.90
Arikara,Larson,39WW2,154,301,54A,M,23.30,18.30,27.50,55.95,49.05,39.60,32.30,24.45
Arikara,Larson,39WW2,155,301,54E,F,26.05,14.35,17.30,52.00,46.00,34.30,29.80,24.25
Arikara,Larson,39WW2,156,301,54D,M,23.10,14.75,18.65,51.50,46.45,32.90,29.00,23.10
Arikara,Larson,39WW2,157,301,58F,F,20.30,14.80,19.70,50.35,44.45,32.90,29.30,22.60
Arikara,Larson,39WW2,158,301,60B,F,20.15,15.15,20.55,50.40,43.60,34.70,28.45,22.75
Arikara,Larson,39WW2,159,301,60C,M,23.45,15.45,25.30,51.65,44.90,33.15,30.95,28.30
Arikara,Larson,39WW2,160,301,62B,M,20.00,19.90,18.80,51.05,45.60,32.20,28.10,26.85
Arikara,Larson,39WW2,161,301,77B,F,22.70,13.05,17.90,49.15,42.95,35.85,28.45,22.50
Arikara,Larson,39WW2,162,102,lA,F,26.75,13.35,20.55,57.70,52.70,34.50,31.85,25.30
Arikara,Larson,39WW2,163,102,2,M,26.30,15.45,19.75,54.10,47.00,35.90,28.70,28.55
Arikara,Larson,39WW2,164,888,88,M,24.55,13.60,16.25,47.95,43.80,38.20,30.35,24.10
Arikara,Larson,39WW2,165,101,12B,F,22.45,15.25,16.60,52.60,45.50,33.00,26.15,23.05
Arikara,Larson,39WW2,166,201,9A,F,23.70,14.45,,52.65,47.85,34.70,29.05,24.75
Arikara,Larson,39WW2,167,201,121,F,22.50,13.00,,49.70,43.80,35.55,27.00,23.10
Arikara,Larson,39WW2,168,201,134,F,23.15,13.75,12.70,47.75,43.00,30.20,27.15,24.05
